symbol,closing_price,15day closing_price,trade,value_mn,volume
beximco,34,32.5,3176,131.847,4033901
beximco,33.2,32.5,2824,114.202,3479829
beximco,33.7,33,3157,118.079,3593532
beximco,33.3,31.6,2155,75.015,2380485
beximco,33.4,32,3377,105.911,3259936
beximco,34,32.9,3676,158.798,4768203
beximco,34,32.9,2065,99.122,2996824
beximco,34.1,32.4,1890,72.232,2213838
beximco,34.6,32.8,2295,112.754,3441069
beximco,34,33.1,2754,109.078,3256802
beximco,34.4,33.1,2560,103.138,3149978
beximco,34.2,32.1,2803,103.53,3225533
beximco,33.2,32.1,4409,181.287,5546786
beximco,33.8,33.9,4854,210.343,6119132
beximco,33.4,35.5,4290,234.923,6500187
beximco,32.5,35.1,4324,252.258,7124799
beximco,32.5,35.1,5195,316.501,8791243
beximco,33,36.2,7195,385.667,10464632
beximco,31.6,34.5,3451,147.974,4309233
beximco,32,33.5,4949,255.317,7350127
beximco,32.9,35.3,5281,330.647,9095713
beximco,32.9,36.3,6850,424.544,11824232
beximco,32.4,34.3,5478,277.803,7898124
beximco,32.8,35,6876,387.032,11484336
beximco,33.1,32.3,4542,233.632,7089670
beximco,33.1,32.4,3963,231,7263605
beximco,32.1,29.5,1973,85.008,2854266
beximco,32.1,32.9,3447,159.999,4866406
beximco,33.9,32.2,2419,100.615,3112102
beximco,35.5,32.5,4688,229.989,7026492
beximco,35.1,31.2,2103,87.673,2820121
beximco,35.1,31,4242,180.028,5655941
beximco,36.2,33,4229,207.138,6330630
beximco,34.5,31.2,4229,181.999,5948428
beximco,33.5,30,4080,153.082,5039521
beximco,35.3,28.3,2226,78.43,2831600
beximco,36.3,25.8,1663,42.828,1660874
beximco,34.3,25.2,1827,55.217,2192753
beximco,35,24.8,1317,30.705,1238422
beximco,32.3,24.1,2157,51.247,2069806
beximco,32.4,26.4,1355,34.648,1306692
beximco,29.5,27,2336,60.708,2253110
beximco,32.9,26.1,2352,63.283,2426548
beximco,32.2,27.5,2043,53.661,1927006
beximco,32.5,29.1,2395,67.9,2315480
beximco,31.2,30.1,1539,42.214,1390891
beximco,31,30.5,1720,61.489,2010527
beximco,33,30.6,2078,61.52,1963694
beximco,31.2,31.9,2228,83.207,2588628
beximco,30,32.2,3145,121.303,3749612
beximco,28.3,31.3,2414,69.677,2251302
beximco,25.8,29.7,1931,58.777,1975983
beximco,25.2,29.7,1556,37.196,1242548
beximco,24.8,30.3,1804,50.054,1624426
beximco,24.1,30.9,1781,48.828,1600955
beximco,26.4,30.5,1858,56.835,1852699
beximco,27,31.3,1542,46.651,1470794
beximco,26.1,32,1385,45.426,1412952
beximco,27.5,32.5,1196,39.096,1200345
beximco,29.1,32.8,3001,119.99,3624783
beximco,30.1,32.3,1715,65.132,2022154
beximco,30.5,32.2,1460,53.18,1638767
beximco,30.6,32.9,2329,92.977,2822694
beximco,31.9,31.9,1460,49.134,1544508
beximco,32.2,32.1,1218,40.272,1248526
beximco,31.3,32.3,1800,56.659,1731287
beximco,29.7,32.9,2135,71.691,2170255
beximco,29.7,32.8,1793,55.913,1705437
beximco,30.3,32.2,1941,56.898,1779841
beximco,30.9,31.5,1664,53.619,1692515
beximco,30.5,32.1,1067,35.419,1101920
beximco,31.3,32.1,1649,55.286,1710434
beximco,32,32.7,2158,61.686,1854553
beximco,32.5,33.5,3405,98.114,2939557
beximco,32.8,32,1408,40.557,1258164
beximco,32.3,31.6,1096,27.808,880255
beximco,32.2,31.5,1217,33.567,1062379
beximco,32.9,31.8,1339,39.68,1242476
beximco,31.9,31.7,1458,37.062,1159061
beximco,32.1,32.6,2811,74.721,2306209
beximco,32.3,31.1,1873,45.56,1441099
beximco,32.9,32.2,1942,55.858,1714923
beximco,32.8,32.6,2423,70.073,2110412
beximco,32.2,33.8,1375,50.599,1490958
beximco,31.5,33.6,1887,63.061,1856296
beximco,32.1,34.1,1373,42.29,1243186
beximco,32.1,34,1572,46.576,1361802
beximco,32.7,34.5,2038,54.835,1569126
beximco,33.5,35.1,3288,101.577,2954919
beximco,32,33.7,3283,95.204,2758617
beximco,31.6,35.6,3174,112.456,3142987
beximco,31.5,35.5,3953,140.166,4045915
beximco,31.8,34.8,5549,166.539,4944562
beximco,31.7,31.7,3005,85.267,2757913
beximco,32.6,28.8,1111,32.877,1137688
beximco,31.1,28.6,790,17.857,622219
beximco,32.2,28.6,639,13.304,465856
beximco,32.6,28.7,905,19.21,667704
beximco,33.8,28.6,1137,24.277,852406
beximco,33.6,28.5,1450,35.271,1225550
beximco,34.1,29.8,1136,25.387,847023
beximco,34,30.9,931,22.389,722643
beximco,34.5,31.1,1360,32.728,1040434
beximco,35.1,31.2,1117,25.224,816632
beximco,33.7,30.5,1139,26.708,863752
beximco,35.6,31.2,1174,28.412,908178
beximco,35.5,32,1716,44.024,1388889
beximco,34.8,31,2189,66.2,2110971
beximco,31.7,32.9,1407,36.457,1093190
beximco,28.8,33.8,1621,42.961,1262731
beximco,28.6,34.9,1522,31.773,905082
beximco,28.6,35.6,1595,30.567,855392
beximco,28.7,35.9,1331,35.303,979237
beximco,28.6,36.2,1474,40.988,1132378
beximco,28.5,35.9,1799,47.36,1314616
beximco,29.8,36.2,1651,38.175,1047051
beximco,30.9,36.7,1152,24.956,677102
beximco,31.1,37.1,1341,36.526,978500
beximco,31.2,37.4,1311,29.853,800072
beximco,30.5,37,917,21.866,592007
beximco,31.2,37.3,1404,32.47,878565
beximco,32,36.4,1341,31.537,866375
beximco,31,36,1121,22.931,637785
beximco,32.9,35.5,1270,24.29,680559
beximco,33.8,36.4,1261,21.411,588116
beximco,34.9,36.7,1547,27.663,750237
beximco,35.6,37.3,1377,28.228,753604
beximco,35.9,37.4,1518,34.14,908410
beximco,36.2,37.8,1286,27.099,715492
beximco,35.9,37.6,1742,37.928,1003164
beximco,36.2,38.1,2354,67.71,1747216
beximco,36.7,37.5,2077,44.053,1169831
beximco,37.1,37.9,2076,40.665,1070314
beximco,37.4,38.5,2084,60.1994,1555700
beximco,37,39,2634,92.5551,2364600
beximco,37.3,39.4,2719,87.3138,2195200
beximco,36.4,40.4,2714,116.2089,2848100
beximco,36,40.4,4320,170.3702,4180900
beximco,35.5,40.1,2271,86.7108,2169300
beximco,36.4,39.5,1961,68.9265,1733100
beximco,36.7,39.3,1506,61.5493,1561000
beximco,37.3,39.1,1904,70.7896,1790200
beximco,37.4,39.9,2770,113.4431,2847200
beximco,37.8,38.7,2144,67.9432,1724900
beximco,37.6,40.3,3905,144.6572,3579200
beximco,38.1,39.5,3360,116.2564,2946500
beximco,37.5,38.6,1591,56.0495,1442000
beximco,37.9,38.9,2299,76.2035,1938200
beximco,38.5,39.8,4044,132.4857,3305400
beximco,39,38.3,1851,67.0054,1743200
beximco,39.4,38.3,2533,83.8943,2162200
beximco,40.4,39.4,2977,118.2365,2969800
beximco,40.4,39.7,5868,235.2927,5750800
beximco,40.1,40.3,6281,208.3066,5355200
beximco,39.5,36.7,3087,84.2331,2271400
beximco,39.3,37.4,2881,86.7665,2288000
beximco,39.1,37.2,3503,107.9684,2877500
beximco,39.9,38.4,3089,88.2305,2281000
beximco,38.7,37.8,3194,95.5346,2493900
beximco,40.3,38.7,3397,100.6746,2577900
beximco,39.5,39.4,2898,86.2721,2156600
beximco,38.6,41.4,4539,164.6898,4004900
beximco,38.9,39,2601,75.979,1925600
beximco,39.8,40,2442,85.412,2109900
beximco,38.3,40.5,3471,120.7253,3048000
beximco,38.3,39.2,3865,119.9711,3001200
beximco,39.4,40.9,2650,81.8322,1996300
beximco,39.7,41.6,3549,148.3836,3513100
beximco,40.3,42,3489,134.3998,3216100
beximco,36.7,40.5,3950,147.5474,3607600
beximco,37.4,40.7,4915,148.6466,3576000
beximco,37.2,42.7,4673,157.2183,3659700
beximco,38.4,43.3,6212,230.8339,5257200
beximco,37.8,44.5,5949,260.4547,5792900
beximco,38.7,45.5,3774,176.5776,3844900
beximco,39.4,45.8,3645,153.2005,3354100
beximco,41.4,45.2,4320,180.4048,3993900
beximco,39,45,4535,205.1052,4510300
beximco,40,44.9,6072,276.675,6057400
beximco,40.5,45.8,6542,292.4054,6301700
beximco,39.2,47.5,6550,351.5905,7256600
beximco,40.9,46.9,6895,446.2704,9553400
beximco,41.6,45.8,6042,320.8047,6911000
beximco,42,45.1,6682,414.0523,9136200
